Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Window Block Creation Time,Fix Rate
339,4333774.4890,4353273.8176,19499.3286,2000,8.4242,9.7497,0.0257
340,4353273.8176,4373267.9579,19994.1403,2000,8.6410,9.9971,0.0003
341,4373267.9579,4393620.6149,20352.6570,2000,8.6430,10.1763,-0.0173
342,4393620.6149,4413790.8632,20170.2483,2000,8.4937,10.0851,-0.0084
343,4413790.8632,4433144.7968,19353.9336,2000,8.4220,9.6770,0.0334
344,4433144.7968,4453931.2651,20786.4683,2000,8.7032,10.3932,-0.0378
345,4453931.2651,4474448.1544,20516.8893,2000,8.3734,10.2584,-0.0252
346,4474448.1544,4494507.0983,20058.9439,2000,8.1629,10.0295,-0.0029
347,4494507.0983,4514450.6315,19943.5332,2000,8.1385,9.9718,0.0028
348,4514450.6315,4534084.7928,19634.1613,2000,8.1620,9.8171,0.0186
349,4534084.7928,4554542.1337,20457.3410,2000,8.3140,10.2287,-0.0224
350,4554542.1337,4575116.4514,20574.3176,2000,8.1282,10.2872,-0.0279
351,4575116.4514,4592990.8039,17874.3525,2000,7.9013,8.9372,0.0500
