Window Number,Start Time,End Time,Delta Time,Delta Blocks,Theory Block Creation Time,Fix Rate, Machine Amount
262,7970438.8115,8000438.8115,30000.0000,3000,10.0000,0.0000,75
263,8000438.8115,8030438.8115,30000.0000,3000,10.0000,0.0000,75
264,8030438.8115,8060438.8115,30000.0000,3000,10.0000,0.0000,75
265,8060438.8115,8090438.8115,30000.0000,3000,10.0000,0.0000,75
266,8090438.8115,8120438.8115,30000.0000,3000,10.0000,0.0000,75
267,8120438.8115,8150438.8115,30000.0000,3000,10.0000,0.0000,75
268,8150438.8115,8180438.8115,30000.0000,3000,10.0000,0.0000,75
269,8180438.8115,8210438.8115,30000.0000,3000,10.0000,0.0000,75
270,8210438.8115,8240438.8115,30000.0000,3000,10.0000,0.0000,75
271,8240438.8115,8270438.8115,30000.0000,3000,10.0000,0.0000,75
272,8270438.8115,8300438.8115,30000.0000,3000,10.0000,0.0000,75
273,8300438.8115,8330438.8115,30000.0000,3000,10.0000,0.0000,75
274,8330438.8115,8360438.8115,30000.0000,3000,10.0000,0.0000,75
275,8360438.8115,8390438.8115,30000.0000,3000,10.0000,0.0000,75
276,8390438.8115,8420438.8115,30000.0000,3000,10.0000,0.0000,75
277,8420438.8115,8450438.8115,30000.0000,3000,10.0000,0.0000,75
278,8450438.8115,8480438.8115,30000.0000,3000,10.0000,0.0000,75
279,8480438.8115,8510438.8115,30000.0000,3000,10.0000,0.0000,75
280,8510438.8115,8540438.8115,30000.0000,3000,10.0000,0.0000,75
281,8540438.8115,8570438.8115,30000.0000,3000,10.0000,0.0000,75
282,8570438.8115,8600438.8115,30000.0000,3000,10.0000,0.0000,75
283,8600438.8115,8630438.8115,30000.0000,3000,10.0000,0.0000,75
284,8630438.8115,8660438.8115,30000.0000,3000,10.0000,0.0000,75
285,8660438.8115,8690438.8115,30000.0000,3000,10.0000,0.0000,75
286,8690438.8115,8720438.8115,30000.0000,3000,10.0000,0.0000,75
287,8720438.8115,8750438.8115,30000.0000,3000,10.0000,0.0000,75
288,8750438.8115,8780438.8115,30000.0000,3000,10.0000,0.0000,75
289,8780438.8115,8810438.8115,30000.0000,3000,10.0000,0.0000,75
290,8810438.8115,8840438.8115,30000.0000,3000,10.0000,0.0000,75
291,8840438.8115,8870438.8115,30000.0000,3000,10.0000,0.0000,75
292,8870438.8115,8900438.8115,30000.0000,3000,10.0000,0.0000,75
293,8900438.8115,8930438.8115,30000.0000,3000,10.0000,0.0000,75
294,8930438.8115,8960438.8115,30000.0000,3000,10.0000,0.0000,75
295,8960438.8115,8990438.8115,30000.0000,3000,10.0000,0.0000,75
296,8990438.8115,9020438.8115,30000.0000,3000,10.0000,0.0000,75
297,9020438.8115,9050438.8115,30000.0000,3000,10.0000,0.0000,75
298,9050438.8115,9080438.8115,30000.0000,3000,10.0000,0.0000,75
299,9080438.8115,9110438.8115,30000.0000,3000,10.0000,0.0000,75
300,9110438.8115,9140438.8115,30000.0000,3000,10.0000,0.0000,75
301,9140438.8115,9170438.8115,30000.0000,3000,10.0000,0.0000,75
302,9170438.8115,9200438.8115,30000.0000,3000,10.0000,0.0000,75
303,9200438.8115,9230438.8115,30000.0000,3000,10.0000,0.0000,75
304,9230438.8115,9260438.8115,30000.0000,3000,10.0000,0.0000,75
305,9260438.8115,9290438.8115,30000.0000,3000,10.0000,0.0000,75
306,9290438.8115,9320438.8115,30000.0000,3000,10.0000,0.0000,75
307,9320438.8115,9350438.8115,30000.0000,3000,10.0000,0.0000,75
308,9350438.8115,9380438.8115,30000.0000,3000,10.0000,0.0000,75
309,9380438.8115,9410438.8115,30000.0000,3000,10.0000,0.0000,75
310,9410438.8115,9440438.8115,30000.0000,3000,10.0000,0.0000,75
311,9440438.8115,9470438.8115,30000.0000,3000,10.0000,0.0000,75
312,9470438.8115,9500438.8115,30000.0000,3000,10.0000,0.0000,75
313,9500438.8115,9530438.8115,30000.0000,3000,10.0000,0.0000,75
314,9530438.8115,9560438.8115,30000.0000,3000,10.0000,0.0000,75
315,9560438.8115,9590438.8115,30000.0000,3000,10.0000,0.0000,75
316,9590438.8115,9620438.8115,30000.0000,3000,10.0000,0.0000,75
317,9620438.8115,9650438.8115,30000.0000,3000,10.0000,0.0000,75
318,9650438.8115,9680438.8115,30000.0000,3000,10.0000,0.0000,75
319,9680438.8115,9710438.8115,30000.0000,3000,10.0000,0.0000,75
320,9710438.8115,9740438.8115,30000.0000,3000,10.0000,0.0000,75
321,9740438.8115,9770438.8115,30000.0000,3000,10.0000,0.0000,75
322,9770438.8115,9800438.8115,30000.0000,3000,10.0000,0.0000,75
323,9800438.8115,9830438.8115,30000.0000,3000,10.0000,0.0000,75
324,9830438.8115,9860438.8115,30000.0000,3000,10.0000,0.0000,75
325,9860438.8115,9890438.8115,30000.0000,3000,10.0000,0.0000,75
326,9890438.8115,9920438.8115,30000.0000,3000,10.0000,0.0000,75
327,9920438.8115,9950438.8115,30000.0000,3000,10.0000,0.0000,75
328,9950438.8115,9980438.8115,30000.0000,3000,10.0000,0.0000,75
329,9980438.8115,10010438.8115,30000.0000,3000,10.0000,0.0000,75
330,10010438.8115,10040438.8115,30000.0000,3000,10.0000,0.0000,75
331,10040438.8115,10070438.8115,30000.0000,3000,10.0000,0.0000,75
332,10070438.8115,10100438.8115,30000.0000,3000,10.0000,0.0000,75
333,10100438.8115,10130438.8115,30000.0000,3000,10.0000,0.0000,75
334,10130438.8115,10160438.8115,30000.0000,3000,10.0000,0.0000,75
335,10160438.8115,10190438.8115,30000.0000,3000,10.0000,0.0000,75
336,10190438.8115,10220438.8115,30000.0000,3000,10.0000,0.0000,75
337,10220438.8115,10250438.8115,30000.0000,3000,10.0000,0.0000,75
338,10250438.8115,10280438.8115,30000.0000,3000,10.0000,0.0000,75
339,10280438.8115,10310438.8115,30000.0000,3000,10.0000,0.0000,75
340,10310438.8115,10340438.8115,30000.0000,3000,10.0000,0.0000,75
341,10340438.8115,10370438.8115,30000.0000,3000,10.0000,0.0000,75
342,10370438.8115,10400438.8115,30000.0000,3000,10.0000,0.0000,75
343,10400438.8115,10430438.8115,30000.0000,3000,10.0000,0.0000,75
344,10430438.8115,10460438.8115,30000.0000,3000,10.0000,0.0000,75
345,10460438.8115,10490438.8115,30000.0000,3000,10.0000,0.0000,75
346,10490438.8115,10520438.8115,30000.0000,3000,10.0000,0.0000,75
347,10520438.8115,10550438.8115,30000.0000,3000,10.0000,0.0000,75
348,10550438.8115,10580438.8115,30000.0000,3000,10.0000,0.0000,75
349,10580438.8115,10610438.8115,30000.0000,3000,10.0000,0.0000,75
350,10610438.8115,10640438.8115,30000.0000,3000,10.0000,0.0000,75
351,10640438.8115,10670438.8115,30000.0000,3000,10.0000,0.0000,75
352,10670438.8115,10700438.8115,30000.0000,3000,10.0000,0.0000,75
353,10700438.8115,10730438.8115,30000.0000,3000,10.0000,0.0000,75
354,10730438.8115,10760438.8115,30000.0000,3000,10.0000,0.0000,75
355,10760438.8115,10790438.8115,30000.0000,3000,10.0000,0.0000,75
356,10790438.8115,10820438.8115,30000.0000,3000,10.0000,0.0000,75
357,10820438.8115,10850438.8115,30000.0000,3000,10.0000,0.0000,75
358,10850438.8115,10880438.8115,30000.0000,3000,10.0000,0.0000,75
359,10880438.8115,10910438.8115,30000.0000,3000,10.0000,0.0000,75
360,10910438.8115,10940438.8115,30000.0000,3000,10.0000,0.0000,75
361,10940438.8115,10970438.8115,30000.0000,3000,10.0000,0.0000,75
362,10970438.8115,11000438.8115,30000.0000,3000,10.0000,0.0000,75
363,11000438.8115,11030438.8115,30000.0000,3000,10.0000,0.0000,75
364,11030438.8115,11060438.8115,30000.0000,3000,10.0000,0.0000,75
365,11060438.8115,11090438.8115,30000.0000,3000,10.0000,0.0000,75
366,11090438.8115,11120438.8115,30000.0000,3000,10.0000,0.0000,75
367,11120438.8115,11150438.8115,30000.0000,3000,10.0000,0.0000,75
368,11150438.8115,11180438.8115,30000.0000,3000,10.0000,0.0000,75
369,11180438.8115,11210438.8115,30000.0000,3000,10.0000,0.0000,75
370,11210438.8115,11240438.8115,30000.0000,3000,10.0000,0.0000,75
371,11240438.8115,11270438.8115,30000.0000,3000,10.0000,0.0000,75
372,11270438.8115,11300438.8115,30000.0000,3000,10.0000,0.0000,75
